Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Cumbria,E10000006,Upper tier local authority,2020-04-13,50,1343
Darlington,E06000005,Upper tier local authority,2020-04-13,4,153
Derby,E06000015,Upper tier local authority,2020-04-13,4,377
Derbyshire,E10000007,Upper tier local authority,2020-04-13,29,809
Devon,E10000008,Upper tier local authority,2020-04-13,24,443
Doncaster,E08000017,Upper tier local authority,2020-04-13,9,255
Dorset,E06000059,Upper tier local authority,2020-04-13,4,214
Dudley,E08000027,Upper tier local authority,2020-04-13,16,491
Ealing,E09000009,Upper tier local authority,2020-04-13,33,822
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-13,17,258
East Sussex,E10000011,Upper tier local authority,2020-04-13,13,374
Enfield,E09000010,Upper tier local authority,2020-04-13,14,609
Essex,E10000012,Upper tier local authority,2020-04-13,82,1728
Gateshead,E08000037,Upper tier local authority,2020-04-13,20,493
Gloucestershire,E10000013,Upper tier local authority,2020-04-13,40,772
Greenwich,E09000011,Upper tier local authority,2020-04-13,11,503
Hackney,E09000012,Upper tier local authority,2020-04-13,8,522
Halton,E06000006,Upper tier local authority,2020-04-13,8,223
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-13,9,407
Hampshire,E10000014,Upper tier local authority,2020-04-13,79,1833
Haringey,E09000014,Upper tier local authority,2020-04-13,14,457
Harrow,E09000015,Upper tier local authority,2020-04-13,23,712
Hartlepool,E06000001,Upper tier local authority,2020-04-13,3,78
Havering,E09000016,Upper tier local authority,2020-04-13,17,499
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-13,7,124
Hertfordshire,E10000015,Upper tier local authority,2020-04-13,57,1654
Hillingdon,E09000017,Upper tier local authority,2020-04-13,18,558
Hounslow,E09000018,Upper tier local authority,2020-04-13,9,512
Isle of Wight,E06000046,Upper tier local authority,2020-04-13,1,56
Islington,E09000019,Upper tier local authority,2020-04-13,6,343
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-13,7,383
Kent,E10000016,Upper tier local authority,2020-04-13,118,1958
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-13,15,162
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-13,11,321
Kirklees,E08000034,Upper tier local authority,2020-04-13,19,362
Knowsley,E08000011,Upper tier local authority,2020-04-13,16,341
Lambeth,E09000022,Upper tier local authority,2020-04-13,16,961
Lancashire,E10000017,Upper tier local authority,2020-04-13,81,1768
Leeds,E08000035,Upper tier local authority,2020-04-13,28,737
Leicester,E06000016,Upper tier local authority,2020-04-13,9,419
Leicestershire,E10000018,Upper tier local authority,2020-04-13,13,571
Lewisham,E09000023,Upper tier local authority,2020-04-13,28,738
Lincolnshire,E10000019,Upper tier local authority,2020-04-13,22,518
Liverpool,E08000012,Upper tier local authority,2020-04-13,37,1006
Luton,E06000032,Upper tier local authority,2020-04-13,15,435
Manchester,E08000003,Upper tier local authority,2020-04-13,29,746
Medway,E06000035,Upper tier local authority,2020-04-13,11,422
Merton,E09000024,Upper tier local authority,2020-04-13,20,537
Middlesbrough,E06000002,Upper tier local authority,2020-04-13,19,320
Milton Keynes,E06000042,Upper tier local authority,2020-04-13,15,333
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-13,20,627
Newham,E09000025,Upper tier local authority,2020-04-13,20,804
Norfolk,E10000020,Upper tier local authority,2020-04-13,54,788
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-13,4,84
North Lincolnshire,E06000013,Upper tier local authority,2020-04-13,7,136
North Somerset,E06000024,Upper tier local authority,2020-04-13,5,130
North Tyneside,E08000022,Upper tier local authority,2020-04-13,14,335
North Yorkshire,E10000023,Upper tier local authority,2020-04-13,27,535
Northamptonshire,E10000021,Upper tier local authority,2020-04-13,18,779
Northumberland,E06000057,Upper tier local authority,2020-04-13,31,489
Nottingham,E06000018,Upper tier local authority,2020-04-13,13,331
Nottinghamshire,E10000024,Upper tier local authority,2020-04-13,26,740
Oldham,E08000004,Upper tier local authority,2020-04-13,7,376
Oxfordshire,E10000025,Upper tier local authority,2020-04-13,53,1037
Peterborough,E06000031,Upper tier local authority,2020-04-13,7,115
Plymouth,E06000026,Upper tier local authority,2020-04-13,12,161
Portsmouth,E06000044,Upper tier local authority,2020-04-13,4,194
Reading,E06000038,Upper tier local authority,2020-04-13,27,253
Redbridge,E09000026,Upper tier local authority,2020-04-13,19,554
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-13,14,195
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-13,5,299
Rochdale,E08000005,Upper tier local authority,2020-04-13,6,278
Rotherham,E08000018,Upper tier local authority,2020-04-13,35,419
Rutland,E06000017,Upper tier local authority,2020-04-13,1,12
Salford,E08000006,Upper tier local authority,2020-04-13,9,382
Sandwell,E08000028,Upper tier local authority,2020-04-13,34,630
Sefton,E08000014,Upper tier local authority,2020-04-13,32,553
Sheffield,E08000019,Upper tier local authority,2020-04-13,70,1462
Shropshire,E06000051,Upper tier local authority,2020-04-13,17,279
Slough,E06000039,Upper tier local authority,2020-04-13,14,265
Solihull,E08000029,Upper tier local authority,2020-04-13,10,377
Somerset,E10000027,Upper tier local authority,2020-04-13,14,248
South Gloucestershire,E06000025,Upper tier local authority,2020-04-13,2,224
South Tyneside,E08000023,Upper tier local authority,2020-04-13,16,254
Southampton,E06000045,Upper tier local authority,2020-04-13,11,286
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-13,10,238
Southwark,E09000028,Upper tier local authority,2020-04-13,22,1008
